date,aapl,msft,amzn
5/29/1984,0.417862,,
5/30/1984,0.412528,,
5/31/1984,0.417862,,
6/1/1984,0.432087,,
6/4/1984,0.421418,,
6/5/1984,0.396524,,
6/6/1984,0.412528,,
6/7/1984,0.408971,,
6/8/1984,0.407193,,
6/11/1984,0.407193,,
6/12/1984,0.414306,,
6/13/1984,0.423196,,
6/14/1984,0.410749,,
6/15/1984,0.412528,,
6/18/1984,0.421418,,
6/19/1984,0.417862,,
6/20/1984,0.430309,,
6/21/1984,0.412528,,
6/22/1984,0.407193,,
6/25/1984,0.387633,,
6/26/1984,0.369852,,
6/27/1984,0.359183,,
6/28/1984,0.375187,,
6/29/1984,0.376965,,
7/2/1984,0.364518,,
7/3/1984,0.359183,,
7/5/1984,0.352071,,
7/6/1984,0.357405,,
7/9/1984,0.373408,,
7/10/1984,0.382299,,
7/11/1984,0.376965,,
7/12/1984,0.378743,,
7/13/1984,0.375187,,
7/16/1984,0.366296,,
7/17/1984,0.366296,,
7/18/1984,0.360961,,
7/19/1984,0.360961,,
7/20/1984,0.360961,,
7/23/1984,0.357405,,
7/24/1984,0.378743,,
7/25/1984,0.380521,,
7/26/1984,0.387633,,
7/27/1984,0.385855,,
7/30/1984,0.36274,,
7/31/1984,0.36274,,
8/1/1984,0.355627,,
8/2/1984,0.34318,,
8/3/1984,0.389412,,
8/6/1984,0.416084,,
8/7/1984,0.421418,,
8/8/1984,0.405415,,
8/9/1984,0.423196,,
8/10/1984,0.405415,,
8/13/1984,0.426752,,
8/14/1984,0.410749,,
8/15/1984,0.396524,,
8/16/1984,0.40008,,
8/17/1984,0.39119,,
8/20/1984,0.389412,,
8/21/1984,0.405415,,
8/22/1984,0.398302,,
8/23/1984,0.40008,,
8/24/1984,0.40008,,
8/27/1984,0.396524,,
8/28/1984,0.401859,,
8/29/1984,0.39119,,
8/30/1984,0.384077,,
8/31/1984,0.376965,,
9/4/1984,0.373408,,
9/5/1984,0.373408,,
9/6/1984,0.376965,,
9/7/1984,0.376965,,
9/10/1984,0.375187,,
9/11/1984,0.382299,,
9/12/1984,0.37163,,
9/13/1984,0.39119,,
9/14/1984,0.396524,,
9/17/1984,0.407193,,
9/18/1984,0.392968,,
9/19/1984,0.384077,,
9/20/1984,0.385855,,
9/21/1984,0.382299,,
9/24/1984,0.378743,,
9/25/1984,0.37163,,
9/26/1984,0.366296,,
9/27/1984,0.366296,,
9/28/1984,0.357405,,
10/1/1984,0.348515,,
10/2/1984,0.352071,,
10/3/1984,0.357405,,
10/4/1984,0.360961,,
10/5/1984,0.353849,,
10/8/1984,0.353849,,
10/9/1984,0.350293,,
10/10/1984,0.339624,,
10/11/1984,0.337846,,
10/12/1984,0.323621,,
10/15/1984,0.341402,,
10/16/1984,0.339624,,
10/17/1984,0.353849,,
10/18/1984,0.364518,,
10/19/1984,0.364518,,
10/22/1984,0.360961,,
10/23/1984,0.369852,,
10/24/1984,0.373408,,
10/25/1984,0.359183,,
10/26/1984,0.350293,,
10/29/1984,0.352071,,
10/30/1984,0.355627,,
10/31/1984,0.353849,,
11/1/1984,0.355627,,
11/2/1984,0.353849,,
11/5/1984,0.352071,,
11/6/1984,0.373408,,
11/7/1984,0.366296,,
11/8/1984,0.352071,,
11/9/1984,0.330733,,
11/12/1984,0.34318,,
11/13/1984,0.334289,,
11/14/1984,0.337846,,
11/15/1984,0.337846,,
11/16/1984,0.330733,,
11/19/1984,0.311174,,
